,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,image_url,state,lat,long,posting_date
89460,7315069017,"washington, DC",8995,2009.0,mercedes-benz,benz c300,good,6 cylinders,gas,96562.0,clean,automatic,4wd,mid-size,sedan,white,https://images.craigslist.org/00f0f_jKqLil16mZKz_0CI0t2_600x450.jpg,dc,38.789148,-77.449129,2021-04-30T18:35:33-0400
83092,7312244133,eastern CT,8950,2014.0,subaru,xv crosstrek premium 4wd,excellent,4 cylinders,gas,159672.0,clean,automatic,4wd,mid-size,SUV,black,https://images.craigslist.org/00K0K_eX5ndtNMvdwz_0CI0t2_600x450.jpg,ct,41.3253,-72.2108,2021-04-25T05:00:33-0400
369922,7316058974,dallas / fort worth,2850,2002.0,mercury,sable,excellent,6 cylinders,gas,102000.0,clean,automatic,fwd,full-size,sedan,red,https://images.craigslist.org/00707_j6DeFfLr5pgz_0CI0t2_600x450.jpg,tx,32.7272,-96.5669,2021-05-02T22:15:05-0500
183369,7305839484,baltimore,7500,2000.0,ford,f250 super duty,fair,8 cylinders,diesel,169000.0,clean,automatic,4wd,full-size,pickup,green,https://images.craigslist.org/00q0q_kmaJobPVX2Rz_0CI0iP_600x450.jpg,md,39.158175,-76.701585,2021-04-12T16:31:17-0400
259019,7302546220,south jersey,9895,2013.0,nissan,sentra,like new,4 cylinders,gas,94000.0,clean,automatic,fwd,mid-size,sedan,grey,https://images.craigslist.org/00N0N_8HTKhn9NTgH_0kE0fu_600x450.jpg,nj,39.893674,-75.10263,2021-04-06T09:42:49-0400
240481,7316376577,raleigh / durham / CH,0,2016.0,ram,1500,good,8 cylinders,gas,97492.0,clean,automatic,4wd,full-size,truck,white,https://images.craigslist.org/00D0D_dUoQTUY783nz_0cU09G_600x450.jpg,nc,33.711509,-78.909582,2021-05-03T15:34:05-0400
232535,7314529401,charlotte,3998,2008.0,pontiac,g6 gt convertible,good,6 cylinders,gas,171019.0,clean,automatic,fwd,full-size,convertible,red,https://images.craigslist.org/00k0k_5Ms0ZM7baZMz_0CI0t2_600x450.jpg,nc,35.08824,-80.664475,2021-04-29T17:15:19-0400
332056,7304461043,lehigh valley,37500,2016.0,ford,f250 super duty,good,8 cylinders,diesel,46500.0,rebuilt,automatic,4wd,full-size,pickup,white,https://images.craigslist.org/00a0a_l9MMPms6YWaz_0CI0t2_600x450.jpg,pa,41.4878,-75.7057,2021-04-09T19:47:18-0400
266732,7314632624,buffalo,12300,2009.0,toyota,highlander,excellent,6 cylinders,gas,125000.0,clean,automatic,4wd,full-size,SUV,blue,https://images.craigslist.org/00Y0Y_eyYNY0kt9m7z_0CI0tb_600x450.jpg,ny,43.0206,-78.7312,2021-04-29T21:13:40-0400
267094,7311968540,buffalo,2500,2005.0,chevrolet,equinox,good,6 cylinders,gas,116455.0,clean,automatic,fwd,mid-size,SUV,blue,https://images.craigslist.org/00E0E_dnyPDMSaQR3z_0CI0t2_600x450.jpg,ny,42.884707,-78.806113,2021-04-24T14:02:54-0400
285876,7316674610,bismarck,28950,2015.0,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,153871.0,clean,automatic,4wd,full-size,truck,white,https://images.craigslist.org/00z0z_gkl9qE2TUv1z_07K05a_600x450.jpg,nd,43.863217,-95.113775,2021-05-04T08:38:55-0500
380350,7316074858,san antonio,15800,2016.0,lincoln,navigator l,good,6 cylinders,gas,197000.0,clean,automatic,rwd,full-size,SUV,black,https://images.craigslist.org/00Z0Z_8kKZgiMQQ3Kz_0t20CI_600x450.jpg,tx,29.7026,-98.4759,2021-05-02T23:40:47-0500
272816,7314484432,long island,12995,2012.0,nissan,frontier,like new,6 cylinders,gas,120910.0,clean,automatic,rwd,mid-size,pickup,white,https://images.craigslist.org/00S0S_ekKH0RkGc6Pz_05a03S_600x450.jpg,ny,40.7135,-73.3546,2021-04-29T15:53:20-0400
34681,7316010847,los angeles,13000,2011.0,toyota,highlander,excellent,6 cylinders,gas,130500.0,clean,automatic,fwd,full-size,SUV,black,https://images.craigslist.org/00404_b5BgzADJ6I2z_0t20CI_600x450.jpg,ca,34.0079,-118.2582,2021-05-02T17:26:34-0700
350906,7315083928,sioux falls / SE SD,5500,1949.0,chevrolet,panel 3800,good,6 cylinders,gas,16000.0,clean,manual,rwd,full-size,other,brown,https://images.craigslist.org/00e0e_4SZmLhi0c8rz_0CI0CI_600x450.jpg,sd,43.8228,-96.7022,2021-04-30T18:07:53-0500
295364,7316122403,columbus,32000,1965.0,chevrolet,chevelle,excellent,8 cylinders,gas,52000.0,clean,manual,rwd,full-size,coupe,red,https://images.craigslist.org/00H0H_jGkqPvyY7LYz_09G05r_600x450.jpg,oh,40.050386,-82.946777,2021-05-03T08:10:34-0400
319241,7315390700,medford-ashland,8999,2012.0,honda,fit,good,4 cylinders,gas,74460.0,clean,automatic,fwd,compact,hatchback,grey,https://images.craigslist.org/00t0t_iTCY9eY9Azf_0aT0jm_600x450.jpg,or,42.300559,-122.869059,2021-05-01T10:40:15-0700
254936,7313042751,north jersey,18900,2018.0,toyota,prius prime,excellent,4 cylinders,hybrid,2700.0,rebuilt,automatic,fwd,compact,hatchback,white,https://images.craigslist.org/00u0u_fbPcEkfSRGF_600x450.jpg,nj,40.586117,-74.266877,2021-04-26T17:23:32-0400
86640,7312322114,new haven,4100,2007.0,ford,explorer xlt 4x4,excellent,6 cylinders,gas,158000.0,clean,automatic,4wd,full-size,SUV,red,https://images.craigslist.org/00T0T_9ETY2i5rbZ9z_0CI0t2_600x450.jpg,ct,41.3484,-72.9117,2021-04-25T10:59:32-0400
109138,7312345939,sarasota-bradenton,3499,2004.0,mazda,6,like new,4 cylinders,gas,160081.0,clean,automatic,fwd,full-size,wagon,grey,https://images.craigslist.org/00u0u_27H5LwA9qZvz_0CI0t2_600x450.jpg,fl,27.4547,-82.5359,2021-04-25T11:47:45-0400
120468,7301817831,treasure coast,6495,2007.0,toyota,camry xle,like new,6 cylinders,gas,114734.0,clean,automatic,fwd,mid-size,sedan,green,https://images.craigslist.org/00u0u_gMcjDp7JIPTz_0CI0hT_600x450.jpg,fl,27.5391,-80.4052,2021-04-04T17:45:49-0400
348056,7309216492,greenville / upstate,53900,2016.0,gmc,sierra 2500hd,excellent,8 cylinders,diesel,95000.0,clean,automatic,4wd,full-size,truck,red,https://images.craigslist.org/00909_6gYWWJYLdUHz_0kE0fu_600x450.jpg,sc,36.277274,-80.339826,2021-04-19T10:31:01-0400
196776,7316142237,detroit metro,4995,2012.0,ford,fusion,excellent,4 cylinders,gas,152127.0,clean,automatic,fwd,mid-size,sedan,grey,https://images.craigslist.org/00909_5Pji1bTxmUgz_0CI0t2_600x450.jpg,mi,42.42711,-83.283638,2021-05-03T09:12:44-0400
135781,7316970463,spokane / coeur d'alene,2498,1996.0,buick,riviera supercharged,excellent,6 cylinders,gas,90391.0,clean,automatic,fwd,full-size,coupe,white,https://images.craigslist.org/00I0I_kedLZaaz40yz_0CI0lM_600x450.jpg,id,47.701329,-117.364847,2021-05-04T14:57:13-0700
170064,7304646016,wichita,0,2018.0,gmc,sierra 1500,excellent,6 cylinders,gas,23176.0,clean,automatic,4wd,mid-size,truck,black,https://images.craigslist.org/00n0n_k7hKfmQPj5iz_0ak07K_600x450.jpg,ks,36.72137,-95.93518,2021-04-10T09:21:17-0500
92434,7313796557,daytona beach,1295,2013.0,dodge,dart,good,4 cylinders,gas,155115.0,clean,automatic,fwd,mid-size,sedan,blue,https://images.craigslist.org/00Y0Y_irP5wvk6wXhz_07K05O_600x450.jpg,fl,29.01627,-80.922376,2021-04-28T10:14:04-0400
373392,7303983649,el paso,37995,2017.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,93481.0,clean,automatic,4wd,full-size,pickup,silver,https://images.craigslist.org/00b0b_ditwVpVQnBkz_09G07g_600x450.jpg,tx,31.732128,-106.36604,2021-04-08T19:45:55-0600
184292,7310233693,eastern shore,4599,2004.0,mercury,sable ls,like new,6 cylinders,gas,139000.0,clean,automatic,fwd,mid-size,sedan,custom,https://images.craigslist.org/00U0U_2q31Kw8ug7H_0CI0iP_600x450.jpg,md,38.4864,-75.7414,2021-04-21T07:00:43-0400
21438,7315311028,bakersfield,2950,1995.0,jeep,grand cherokee,fair,8 cylinders,gas,257000.0,clean,automatic,4wd,mid-size,SUV,silver,https://images.craigslist.org/01515_kNxfrYdaHwCz_0CI0t2_600x450.jpg,ca,35.133016,-118.449183,2021-05-01T08:27:29-0700
3935,7314175698,mobile,34500,2019.0,toyota,highlander,excellent,6 cylinders,gas,37800.0,clean,automatic,fwd,full-size,SUV,silver,https://images.craigslist.org/00Y0Y_m43MvhzZL5z_0CI0mm_600x450.jpg,al,30.4752,-87.6992,2021-04-28T21:54:11-0500
24643,7307892548,chico,14000,2013.0,bmw,328i,excellent,4 cylinders,gas,125000.0,clean,automatic,rwd,full-size,sedan,black,https://images.craigslist.org/00505_3wSCGudHyZvz_0kC0CI_600x450.jpg,ca,39.7506,-121.7961,2021-04-16T12:42:33-0700
229259,7309273945,missoula,13990,2016.0,chevrolet,traverse,good,6 cylinders,gas,105425.0,clean,automatic,4wd,full-size,SUV,blue,https://images.craigslist.org/01515_2f3fGhYPQY3z_0cU09G_600x450.jpg,mt,46.9776,-114.0619,2021-04-19T09:55:05-0600
109365,7311540923,sarasota-bradenton,17995,2016.0,honda,odyssey,excellent,6 cylinders,gas,140000.0,clean,automatic,fwd,full-size,van,red,https://images.craigslist.org/00101_55EaHwg5fiHz_0kE0fu_600x450.jpg,fl,27.0933,-82.4498,2021-04-23T16:08:49-0400
234625,7316560936,eastern NC,25000,2011.0,gmc,sierra 1500 sle,good,8 cylinders,gas,156000.0,clean,automatic,4wd,full-size,truck,white,https://images.craigslist.org/01414_8RFOgYg7VX9z_0CI0t2_600x450.jpg,nc,36.4461,-77.6731,2021-05-03T22:05:59-0400
345188,7315684463,columbia,0,2012.0,ford,f-250 sd,good,8 cylinders,gas,30794.0,clean,automatic,rwd,full-size,truck,custom,https://images.craigslist.org/00N0N_gz0iCvuOx7Sz_0cU09G_600x450.jpg,sc,33.711509,-78.909582,2021-05-02T07:49:31-0400
86881,7310360202,new haven,6995,2013.0,hyundai,elantra gls,excellent,4 cylinders,gas,123527.0,clean,automatic,fwd,full-size,sedan,blue,https://images.craigslist.org/00r0r_fFSPBpefkoH_0w00o0_600x450.jpg,ct,41.294342,-72.899209,2021-04-21T11:55:48-0400
308756,7313306197,tulsa,0,2017.0,audi,q3,excellent,4 cylinders,gas,42424.0,clean,automatic,fwd,compact,SUV,black,https://images.craigslist.org/00707_kkyqdl6e6qHz_0ak07K_600x450.jpg,ok,35.71996,-96.95391,2021-04-27T09:37:18-0500
190098,7314100758,western massachusetts,5995,2005.0,hyundai,tucson,like new,6 cylinders,gas,106229.0,clean,automatic,4wd,mid-size,SUV,blue,https://images.craigslist.org/00t0t_llIY8Ydek4Qz_0aw07O_600x450.jpg,ma,42.6344,-71.2983,2021-04-28T19:12:31-0400
128710,7315518185,hawaii,19999,2011.0,ram,dakota 38km/bighorn/lonestar,excellent,8 cylinders,gas,38686.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00S0S_ea5OnfYVbaOz_09G07g_600x450.jpg,hi,21.320539,-157.877376,2021-05-01T11:30:39-1000
251888,7306845182,central NJ,30985,2015.0,jeep,wrangler unlimited sahara,like new,6 cylinders,gas,83184.0,clean,automatic,4wd,full-size,SUV,white,https://images.craigslist.org/00H0H_eVZSSKoEozmz_0eu0aS_600x450.jpg,nj,40.6354,-74.2556,2021-04-14T15:44:08-0400
304464,7316706663,oklahoma city,0,2014.0,bmw,3 series,excellent,4 cylinders,gas,61827.0,clean,automatic,4wd,compact,sedan,grey,https://images.craigslist.org/00q0q_bww2XDgCzk8z_0ak07K_600x450.jpg,ok,35.71996,-96.95391,2021-05-04T09:39:23-0500
72995,7314577609,colorado springs,12995,2003.0,lexus,gx470 awd,good,8 cylinders,gas,181000.0,clean,automatic,4wd,mid-size,SUV,black,https://images.craigslist.org/00n0n_kw0691vsslLz_07L0ak_600x450.jpg,co,38.836461,-104.778523,2021-04-29T16:56:13-0600
104464,7316354780,orlando,13700,2018.0,nissan,altima,like new,4 cylinders,gas,39000.0,rebuilt,automatic,4wd,full-size,sedan,white,https://images.craigslist.org/01212_HDr8P1GCj1z_0CI0t2_600x450.jpg,fl,28.2531,-81.6509,2021-05-03T14:59:36-0400
191103,7306862948,western massachusetts,8999,2010.0,honda,cr-v lx,excellent,4 cylinders,gas,100225.0,clean,automatic,4wd,mid-size,SUV,blue,https://images.craigslist.org/00u0u_8fcYrnIhdLzz_0aw07O_600x450.jpg,ma,42.6076,-72.4292,2021-04-14T16:13:39-0400
16023,7312202672,tucson,7000,2006.0,mercedes-benz,benz c280,like new,6 cylinders,gas,153000.0,clean,automatic,rwd,mid-size,sedan,white,https://images.craigslist.org/00303_3MjkmC6MLj9z_0CI0hq_600x450.jpg,az,32.2233,-110.8223,2021-04-24T19:56:00-0700
168573,7303913733,topeka,19390,2013.0,ram,1500,good,8 cylinders,gas,129705.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00U0U_l0ZqPTpQ07rz_0kE0fu_600x450.jpg,ks,39.23492,-94.57671,2021-04-08T17:46:09-0500
160751,7314773466,omaha / council bluffs,19999,2013.0,dodge,charger,excellent,8 cylinders,gas,80183.0,clean,automatic,4wd,full-size,sedan,black,https://images.craigslist.org/00F0F_iasIU49S6z2z_09G07g_600x450.jpg,ia,41.256198,-96.023393,2021-04-30T09:00:19-0500
207523,7302592447,muskegon,26999,2008.0,chevrolet,corvette,good,8 cylinders,gas,73477.0,clean,automatic,rwd,mid-size,coupe,white,https://images.craigslist.org/00T0T_aXulPvsrQxtz_0kE0fu_600x450.jpg,mi,43.34116,-85.81076,2021-04-06T11:04:09-0400
194203,7309331824,ann arbor,7500,2011.0,nissan,armada,excellent,8 cylinders,gas,263000.0,clean,automatic,4wd,full-size,SUV,black,https://images.craigslist.org/00000_hfpiBDQWXkOz_0CI0t2_600x450.jpg,mi,42.4596,-83.9099,2021-04-19T13:13:43-0400
291456,7307355760,cincinnati,0,2014.0,chevrolet,cruze,excellent,4 cylinders,gas,150169.0,clean,automatic,fwd,compact,sedan,black,https://images.craigslist.org/00J0J_x36RJaTDr3z_0ak07K_600x450.jpg,oh,39.28685,-84.46832,2021-04-15T15:32:33-0400
238555,7302188099,greensboro,7250,1998.0,chrysler,town & country,excellent,6 cylinders,gas,133000.0,clean,automatic,fwd,full-size,mini-van,red,https://images.craigslist.org/01212_jWrXQzbJwfPz_0ft0bC_600x450.jpg,nc,36.109368,-79.464592,2021-04-05T14:16:26-0400
145235,7304805287,rockford,8750,2013.0,chevrolet,equinox,excellent,6 cylinders,gas,173000.0,clean,automatic,4wd,mid-size,SUV,white,https://images.craigslist.org/00Q0Q_fbGY2XOnBsAz_0qk0jK_600x450.jpg,il,42.2727,-89.2373,2021-04-10T13:34:10-0500
12530,7315647887,phoenix,6300,2008.0,bmw,535i,good,6 cylinders,gas,98000.0,clean,automatic,rwd,full-size,sedan,blue,https://images.craigslist.org/00B0B_ifxyhaxaxbyz_0CI0t2_600x450.jpg,az,33.582698,-111.893864,2021-05-01T21:48:53-0700
342823,7310343057,rhode island,35900,2013.0,ford,f650,excellent,6 cylinders,diesel,120037.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00T0T_h9CYiTzy68tz_0ew0aT_600x450.jpg,ri,41.66203,-71.571768,2021-04-21T11:28:25-0400
383711,7307720492,tyler / east TX,15000,1951.0,ford,custom,excellent,8 cylinders,gas,71000.0,clean,manual,rwd,full-size,sedan,green,https://images.craigslist.org/01515_legt7rySV0qz_0x20oM_600x450.jpg,tx,31.4207,-92.8312,2021-04-16T10:25:42-0500
417618,7308761265,green bay,12495,2015.0,ford,escape se,excellent,4 cylinders,gas,96500.0,clean,automatic,fwd,mid-size,SUV,red,https://images.craigslist.org/00j0j_dusI47PWNHPz_0kE09x_600x450.jpg,wi,45.836328,-87.040601,2021-04-18T10:49:41-0500
220973,7316409409,lake of the ozarks,8950,2008.0,lincoln,navigator,excellent,8 cylinders,gas,192225.0,clean,automatic,4wd,full-size,SUV,red,https://images.craigslist.org/00808_5AFkukKAIMez_0CI0pO_600x450.jpg,mo,37.685,-92.655,2021-05-03T15:29:09-0500
63568,7316913823,stockton,21999,2016.0,subaru,wrx,excellent,4 cylinders,gas,97976.0,clean,manual,4wd,compact,sedan,blue,https://images.craigslist.org/00t0t_c9zkf9Rfyzrz_0cU09G_600x450.jpg,ca,38.608933,-121.430188,2021-05-04T13:11:31-0700
303813,7310439031,zanesville / cambridge,100,2011.0,jeep,wrangler,excellent,6 cylinders,gas,100000.0,clean,automatic,4wd,full-size,SUV,red,https://images.craigslist.org/00M0M_7q5KZ1PCgMxz_0CI0t2_600x450.jpg,oh,40.812,-81.4241,2021-04-21T13:57:33-0400
43651,7313542920,orange county,6500,1927.0,ford,replica,good,8 cylinders,gas,1.0,clean,automatic,rwd,mid-size,convertible,black,https://images.craigslist.org/00404_5Oatpl2TUecz_0CI0t2_600x450.jpg,ca,33.7956,-118.0648,2021-04-27T14:08:50-0700
229774,7302172265,missoula,6990,2008.0,nissan,xterra,good,6 cylinders,gas,206141.0,clean,automatic,4wd,full-size,SUV,grey,https://images.craigslist.org/00D0D_lnBDXVxWy2Vz_0kE0fu_600x450.jpg,mt,46.9776,-114.0619,2021-04-05T11:53:47-0600
259496,7316219838,albuquerque,8500,2006.0,ram,2500,fair,6 cylinders,diesel,324151.0,clean,automatic,rwd,full-size,truck,red,https://images.craigslist.org/00A0A_lmN9qNKsiVZz_0ww0oo_600x450.jpg,nm,35.007615,-106.045017,2021-05-03T09:33:41-0600
228883,7313418331,missoula,9199,2013.0,chevrolet,malibu lt,good,4 cylinders,gas,131465.0,clean,automatic,fwd,full-size,sedan,silver,https://images.craigslist.org/01111_d4FQoTapaNCz_0CI0oc_600x450.jpg,mt,45.6546,-110.5609,2021-04-27T11:38:18-0600
201865,7309997307,grand rapids,11995,2014.0,chevrolet,traverse lt,excellent,6 cylinders,gas,131470.0,clean,automatic,4wd,mid-size,SUV,red,https://images.craigslist.org/00p0p_iDFFBBZK8ZJz_0CI0t2_600x450.jpg,mi,42.893126,-85.665078,2021-04-20T15:57:14-0400
382635,7310936039,san antonio,7999,2009.0,ford,econoline,good,8 cylinders,gas,241023.0,clean,automatic,rwd,full-size,wagon,white,https://images.craigslist.org/00y0y_iity8VLBHeiz_0CI0t2_600x450.jpg,tx,29.53536,-98.376839,2021-04-22T12:39:43-0500
116208,7304968821,tallahassee,9705,2006.0,chevrolet,silverado 1500,good,8 cylinders,gas,213044.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00B0B_3p6QlV6Tsy2z_0kE0fu_600x450.jpg,fl,30.4352,-84.35948,2021-04-10T19:53:16-0400
234315,7308467213,charlotte,13500,2007.0,lexus,gx470,excellent,8 cylinders,gas,212000.0,clean,automatic,4wd,full-size,SUV,grey,https://images.craigslist.org/01717_8rf5bA0ThuGz_03S02U_600x450.jpg,nc,35.226383,-80.834283,2021-04-17T16:55:11-0400
412137,7317004336,yakima,42900,2020.0,kia,telluride,excellent,6 cylinders,gas,29850.0,clean,automatic,4wd,full-size,SUV,white,https://images.craigslist.org/01010_kWQ2DbYStNvz_0lM0t2_600x450.jpg,wa,46.80171,-120.675044,2021-05-04T16:09:37-0700
300447,7311262103,mansfield,3975,1997.0,chevrolet,s-10,good,4 cylinders,gas,123922.0,clean,manual,rwd,compact,pickup,green,https://images.craigslist.org/00X0X_fBWSR876dFjz_0CI0t2_600x450.jpg,oh,40.8559,-82.3189,2021-04-23T07:52:44-0400
351211,7307841511,sioux falls / SE SD,3995,2008.0,honda,fit sport,good,4 cylinders,gas,214000.0,clean,automatic,fwd,sub-compact,hatchback,blue,https://images.craigslist.org/00C0C_gn7qh0XxcNdz_0cU09H_600x450.jpg,sd,43.548673,-96.790495,2021-04-16T13:22:46-0500
233183,7312444909,charlotte,6000,2011.0,ford,fusion se,good,4 cylinders,gas,106000.0,clean,automatic,fwd,mid-size,sedan,blue,https://images.craigslist.org/00Q0Q_jhAy10NOqybz_0t20CI_600x450.jpg,nc,35.584,-80.868,2021-04-25T14:43:35-0400
218686,7304997701,jackson,6500,2015.0,nissan,versa,like new,4 cylinders,gas,71170.0,clean,manual,fwd,compact,sedan,silver,https://images.craigslist.org/00t0t_4mFmoMeKoj1z_0t20CI_600x450.jpg,ms,32.212026,-89.888615,2021-04-10T20:18:17-0500
373158,7305836434,el paso,4895,2005.0,ford,expedition xlt,good,8 cylinders,gas,109000.0,clean,automatic,rwd,full-size,SUV,silver,https://images.craigslist.org/01414_2a3A119aGu6z_0CI0t2_600x450.jpg,tx,31.7862,-106.4406,2021-04-12T14:26:38-0600
15270,7314206688,tucson,11995,2016.0,jeep,patriot,excellent,4 cylinders,gas,76000.0,clean,automatic,fwd,mid-size,SUV,grey,https://images.craigslist.org/00R0R_eZ8yceQUcToz_0cU09G_600x450.jpg,az,32.25,-110.8869,2021-04-28T23:01:25-0700
